setup,n_digits,pairs_seen,train_time_s,sum_acc,digit_acc,loss
dpl_exact_n1,1,0,0.0,3.28,17.49,
dpl_exact_n1,1,1500,7.54,78.48,88.42,34.2325
dpl_exact_n1,1,3000,14.02,76.8,87.49,
dpl_exact_n1,1,4500,20.5,59.44,76.97,26.7581
dpl_exact_n1,1,6000,26.77,84.48,91.66,
dpl_exact_n1,1,7500,33.08,85.96,92.66,8.9467
dpl_exact_n1,1,9000,39.31,88.3,93.86,
dpl_exact_n1,1,10500,45.4,88.74,94.18,7.6631
dpl_exact_n1,1,12000,51.19,88.34,93.94,
dpl_exact_n1,1,13500,57.17,90.22,95.01,14.5704
dpl_exact_n1,1,15000,63.01,90.7,95.19,
